,20,40,60,80,100
871.0,,,1.82662446785e-05,1.97565756692e-05,2.1071652107e-05
870.0,,,1.82709587154e-05,1.97648117995e-05,2.10829719792e-05
869.0,,,1.82756459173e-05,1.97730336222e-05,2.10942889821e-05
868.0,,,1.82803060616e-05,1.97812409647e-05,2.11056030021e-05
867.0,,,1.82849389204e-05,1.97894336503e-05,2.11169139059e-05
866.0,,,1.82895442673e-05,1.97976115075e-05,2.11282215806e-05
865.0,,,1.82941218767e-05,1.98057743601e-05,2.11395259089e-05
864.0,,,1.82986715154e-05,1.98139220352e-05,2.11508267581e-05
863.0,,,1.83031929571e-05,1.98220543476e-05,2.11621240084e-05
862.0,,,1.83076859601e-05,1.98301711192e-05,2.11734175391e-05
861.0,,,1.83121502994e-05,1.98382721677e-05,2.11847072185e-05
860.0,,,1.83165857308e-05,1.98463573114e-05,2.11959929212e-05
859.0,,,1.83209920223e-05,1.9854426369e-05,2.1207274519e-05
858.0,,,1.83253689296e-05,1.98624791468e-05,2.12185518808e-05
857.0,,,1.83297162165e-05,1.98705154652e-05,2.12298248739e-05
856.0,,,1.83340336383e-05,1.98785351327e-05,2.12410933634e-05
855.0,,,1.833832095e-05,1.98865379584e-05,2.12523572312e-05
854.0,,,1.83425779052e-05,1.98945237532e-05,2.12636163311e-05
853.0,,,1.83468042553e-05,1.99024923193e-05,2.12748705238e-05
852.0,,,1.83509997545e-05,1.9910443465e-05,2.12861196806e-05
851.0,,,1.83551641476e-05,1.99183769964e-05,2.12973636627e-05
850.0,,,1.8359297183e-05,1.99262927115e-05,2.13086023181e-05
849.0,,,1.8363398609e-05,1.99341904074e-05,2.13198355262e-05
848.0,,,1.83674681667e-05,1.99420698933e-05,2.1331063132e-05
847.0,,,1.83715055968e-05,1.99499309595e-05,2.13422849966e-05
846.0,,,1.83755106421e-05,1.99577734075e-05,2.13535009693e-05
845.0,,,1.837948304e-05,1.99655970276e-05,2.13647109157e-05
844.0,,,1.83834225283e-05,1.99734016125e-05,2.13759146786e-05
843.0,,,1.83873288389e-05,1.99811869567e-05,2.13871121148e-05
842.0,,,1.83912017055e-05,1.99889528454e-05,2.13983030753e-05
841.0,,,1.83950408622e-05,1.9996699068e-05,2.14094874032e-05
840.0,,,1.83988460354e-05,2.00044254118e-05,2.14206649465e-05
839.0,,,1.84026169518e-05,2.00121316615e-05,2.14318355625e-05
838.0,,,1.84063533448e-05,2.00198175962e-05,2.1442999081e-05
837.0,,,1.84100549276e-05,2.00274830027e-05,2.14541553564e-05
836.0,,,1.84137214308e-05,2.00351276578e-05,2.1465304229e-05
835.0,,,1.84173525673e-05,2.0042751339e-05,2.14764455327e-05
834.0,,,1.84209480581e-05,2.00503538226e-05,2.14875791127e-05
833.0,,,1.84245076241e-05,2.00579348851e-05,2.14987048011e-05
832.0,,,1.84280309717e-05,2.00654942937e-05,2.15098224454e-05
831.0,,,1.84315178233e-05,2.00730318227e-05,2.15209318668e-05
830.0,,,1.84349678764e-05,2.00805472387e-05,2.15320329086e-05
829.0,,,1.84383808482e-05,2.00880403176e-05,2.15431253968e-05
828.0,,,1.84417564476e-05,2.0095510813e-05,2.15542091665e-05
827.0,,,1.84450943737e-05,2.01029584939e-05,2.15652840438e-05
826.0,,,1.8448394328e-05,2.01103831214e-05,2.15763498542e-05
825.0,,,1.84516560168e-05,2.01177844579e-05,2.15874064268e-05
824.0,,,1.84548791321e-05,2.01251622579e-05,2.15984535866e-05
823.0,,,1.84580633764e-05,2.01325162756e-05,2.16094911529e-05
822.0,,,1.84612084414e-05,2.01398462674e-05,2.16205189441e-05
821.0,,,1.84643140177e-05,2.01471519882e-05,2.16315367866e-05
820.0,,,1.84673797997e-05,2.01544331878e-05,2.16425444977e-05
819.0,,,1.84704054722e-05,2.01616896111e-05,2.16535418892e-05
818.0,,,1.84733907226e-05,2.01689210062e-05,2.16645287756e-05
817.0,,,1.84763352381e-05,2.01761271168e-05,2.16755049747e-05
816.0,,,1.8479238693e-05,2.01833076901e-05,2.16864702942e-05
815.0,,,1.84821007755e-05,2.01904624544e-05,2.16974245478e-05
814.0,,,1.84849211575e-05,2.01975911645e-05,2.17083675348e-05
813.0,,1.65226863134e-05,1.84876995174e-05,2.02046935445e-05,2.1719299073e-05
812.0,,1.65206283863e-05,1.84904355274e-05,2.02117693351e-05,2.17302189525e-05
811.0,,1.65185127537e-05,1.84931288591e-05,2.02188182634e-05,2.17411269904e-05
810.0,,1.65163390505e-05,1.84957791811e-05,2.02258400637e-05,2.17520229788e-05
809.0,,1.65141069082e-05,1.84983861566e-05,2.02328344617e-05,2.17629067243e-05
808.0,,1.65118159652e-05,1.85009494577e-05,2.02398011845e-05,2.17737780119e-05
807.0,,1.65094658535e-05,1.85034687418e-05,2.0246739961e-05,2.1784636656e-05
806.0,,1.65070562003e-05,1.85059436698e-05,2.02536505046e-05,2.17954824291e-05
805.0,,1.65045866343e-05,1.85083739004e-05,2.0260532534e-05,2.1806315142e-05
804.0,,1.65020567812e-05,1.85107590821e-05,2.02673857769e-05,2.18171345663e-05
803.0,,1.64994662652e-05,1.85130988793e-05,2.02742099378e-05,2.18279405131e-05
802.0,,1.64968147085e-05,1.85153929355e-05,2.02810047359e-05,2.18387327488e-05
801.0,,1.64941017292e-05,1.85176409009e-05,2.02877698816e-05,2.18495110674e-05
800.0,,1.64913269464e-05,1.8519842423e-05,2.02945050782e-05,2.18602752466e-05
799.0,,1.64884899785e-05,1.8521997146e-05,2.03012100389e-05,2.18710250742e-05
798.0,,1.64855904351e-05,1.8524104706e-05,2.03078844633e-05,2.18817603211e-05
797.0,,1.64826279315e-05,1.85261647459e-05,2.03145280537e-05,2.18924807718e-05
796.0,,1.64796020775e-05,1.85281769074e-05,2.03211405096e-05,2.19031861965e-05
795.0,,1.64765124814e-05,1.85301408154e-05,2.03277215255e-05,2.1913876366e-05
794.0,,1.6473358749e-05,1.85320561074e-05,2.03342708007e-05,2.19245510556e-05
