,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0
100.0,0.000101007226552,0.000130864307441,0.000159728623718,0.000185865505515,0.000208480144835,0.000227277356569,0.000241824224371,0.000261498060013,0.000283230721013,0.000309637252602,0.000345019961134,0.000397519102235,0.000485660611527
120.0,7.52374656174e-05,9.9345544942e-05,0.000123370648449,0.000145627518553,0.000165157040931,0.00018152799804,0.00019439136198,0.000210464173187,0.000227365482715,0.00024677526083,0.00027125779235,0.000305211949073,0.000357444943189
140.0,5.83114557608e-05,7.8221715734e-05,9.86037393299e-05,0.000117907677341,0.000135115880733,0.000149702851326,0.000161331324603,0.000175100500819,0.00018906616754,0.000204409083668,0.000222844011852,0.000247108186863,0.000282206319935
160.0,4.65670914722e-05,6.3305621259e-05,8.0850897065e-05,9.78153226045e-05,0.0001131832435,0.000126370856422,0.000137029115629,0.00014918862007,0.000161198606294,0.000173936788413,0.000188639789842,0.000207177588915,0.000232740004374
180.0,3.80712222809e-05,5.23491487131e-05,6.7630731007e-05,8.26909075936e-05,9.65497275639e-05,0.000108592538993,0.000118453325467,0.000129413760783,0.000140030092971,0.000150978557116,0.000163198292374,0.000178053199132,0.000197745039576
200.0,3.17200652127e-05,4.40479417968e-05,5.74884731138e-05,7.09680521766e-05,8.35601466034e-05,9.46391561641e-05,0.000103823867556,0.00011384734218,0.000123418175152,0.000133069450793,0.000143540842876,0.000155875664978,0.000171684788014
220.0,2.68441428198e-05,3.75989737498e-05,4.95189605286e-05,6.16667240223e-05,7.31773175432e-05,8.34281695146e-05,9.2026992499e-05,0.000101291071694,0.000110045354237,0.000118716066985,0.000127901203842,0.000138427766704,0.000151527391415
240.0,2.30173850894e-05,3.24840815234e-05,4.31319746979e-05,5.4143944821e-05,6.47191333935e-05,7.42475484402e-05,8.23303826232e-05,9.09612554771e-05,9.90569286333e-05,0.000106960841179,0.000115165683642,0.000124345015184,0.000135473271393
260.0,1.99577581087e-05,2.8355883024e-05,3.79277730474e-05,4.7961400857e-05,5.77191956619e-05,6.66100632207e-05,7.42328886711e-05,8.23238287984e-05,8.9874218856e-05,9.71615184316e-05,0.000104597269272,0.000112741676367,0.000122386825366
280.0,1.74723475574e-05,2.49739680692e-05,3.36269800093e-05,4.28107087869e-05,5.18482130822e-05,6.01712835221e-05,6.73800971105e-05,7.50023439789e-05,8.20914880045e-05,8.88712522448e-05,9.56887959203e-05,0.000103017735151,0.000111516067969
